no,candidate,constituency,party,cases,education,total_assets,liabilities
4109,Smt. Aradhana,MEHRONI (SC),CPI,0,Post Graduate,9196000,0
4110,Smt. Sudha Ojha,BASTI SADAR,SHS,0,Post Graduate,900000,0
4111,Sneh Lata Yadav,HANDIA,Naveen Samajwadi Dal,0,Post Graduate,4590000,500000
4112,Sobaran Singh,KARHAL,SP,0,Graduate,115217236,0
4113,Sobran Singh,BAH,United National Party,0,Post Graduate,4729000,0
4114,Sohail Ahmad,TULSIPUR,IND,0,8th Pass,89300,0
4115,Sohanveer Singh Baudh,BAGHPAT,Bahujan Mukti Party,1,Literate,67500,0
4116,Sohil Akhtar Ansari,KANPUR CANTT.,INC,0,10th Pass,21244761,0
4117,Somendra Singh Tomar,MEERUT SOUTH,BJP,0,Doctorate,35922711,6339951
4118,Someshwar Panday,LUCKNOW NORTH,Indian Savarn Samaj Party,0,Post Graduate,4972405,0
4119,Soni,BELTHARA ROAD (SC),Manav Kranti Party,0,10th Pass,365000,0
4120,Soniya Shukla,CHILLUPAR,IND,0,12th Pass,793100,0
4121,Sonpal Singh,SHIKARPUR,Rashtravadi Pratap Sena,0,12th Pass,604000,0
4122,Sonu Khan,SHAHGANJ,All India Jan Congress Party,0,Literate,681500,0
4123,Sonu Kumar,DADRI,IND,0,12th Pass,457983,0
4124,Sonu Lal,RAE BARELI,Manavtawadi Samaj Party,0,12th Pass,98800,0
4125,Sonu Verma,GANGOH,Bhartiya Tarak Samaj Party,0,10th Pass,153000,0
4126,Sonvati Urf Somvati,SIKANDRABAD,Vikas Party,0,10th Pass,9725385,125000
4127,Soran Singh,NAUGAWAN SADAT,Rashtriya Kisan Majdoor Party,7,Doctorate,15232000,1400000
4128,Sravan Kumar,GHATAMPUR (SC),IND,0,12th Pass,10037105,127000
4129,Sri Ashwar Raj Singh,BASTI SADAR,RLD,0,Graduate Professional,185513067,4945000
4130,Sri Dayaram Chaudhary,BASTI SADAR,BJP,1,12th Pass,36796294,2566889
4131,Sri Gauri Shanker Sutpal,BASTI SADAR,Nirbal Indian Shoshit Hamara Aam Dal,0,Post Graduate,292000,0
4132,Sri Jitendra Kumar,BASTI SADAR,BSP,1,12th Pass,62453806,9644810
4133,Sri Kant Gupta Sahu,CAIMPIYARGANJ,NCP,0,Post Graduate,32958000,0
4134,Sri Krishna Kumar Upadhyay,BASTI SADAR,IND,0,Graduate Professional,6395245,0
4135,Sri Kumar Kartikey,BASTI SADAR,CPI(M),0,Others,7030130,0
4136,Sri Mahendra Nath,BASTI SADAR,SP,4,Post Graduate,5393158,424341
4137,Sri Raju,BASTI SADAR,Jan Adhikar Party,0,Literate,328500,0
4138,Sri Rakesh Srivastav,BASTI SADAR,IND,0,12th Pass,164993996,61800000
4139,Sri Ram,SIKANDERPUR,CPI(ML)(L),3,Graduate Professional,2310381,0
4140,Sri Ram Jagat Chaudhary,BASTI SADAR,Shoshit Samaj Dal,0,12th Pass,4765749,0
4141,Sri Ram Prasad,BASTI SADAR,Most Backward Classes Of India,1,Graduate Professional,2213000,0
4142,Sri Waris Ali,NANPARA,INC,0,Post Graduate,28136068,3521148
4143,Srikrishna,MOHAMMADABAD,IND,0,12th Pass,10006500,0
4144,Sriprasad,CHAKIA (SC),CPI(M),3,10th Pass,291711,0
4145,Sriram,AKBARPUR,IND,0,Literate,4757691,0
4146,Subas Chandra,MACHHLISHAHR (SC),CPI,0,10th Pass,996000,0
4147,Subedar,MAHOLI,IND,0,12th Pass,2361000,0
4148,Subhas Chandra,SHRAWASTI,Bhartiya Kisan Janshakti Party,0,Graduate,1813726,0
4149,Subhash,TAMKUHI RAJ,Lok Dal,0,Graduate,147000,0
4150,Subhash,SHRAWASTI,BSP,1,12th Pass,92246190,2017970
4151,Subhash,ZAHOORABAD,RLD,0,Post Graduate,530000,0
4152,Subhash,BILHAUR (SC),Bhartiya Shakti Chetna Party,0,8th Pass,2370800,0
4153,Subhash,SIWALKHAS,IND,0,Literate,100000,5000
4154,Subhash Chand,AGRA CANTT. (SC),IND,0,8th Pass,2205500,0
4155,Subhash Chand,MANKAPUR (SC),Bahujan Mukti Party,0,12th Pass,1223482,0
4156,Subhash Chand,PAYAGPUR,Socialist Party (India),0,8th Pass,1248000,0
4157,Subhash Chandra,CHAIL,IND,0,Graduate,700489655,0
4158,Subhash Chandra,PATTI,IND,0,12th Pass,106835,0
4159,Subhash Chandra,SADABAD,IND,0,Graduate,5000,0
4160,Subhash Chandra Maurya,LUCKNOW EAST,Jan Adhikar Manch,0,Post Graduate,5754000,650000
4161,Subhash Chandra Pali,ATRAULI,Sarva Samaj Kalyan Party,0,12th Pass,652000,0
4162,Subhash Chaudhary,MANT,IND,0,12th Pass,12300000,0
4163,Subhash Kharvar,OBRA (ST),IND,0,12th Pass,3957000,450000
4164,Subhash Pal,BILGRAM MALLANWAN,SP,4,Graduate,29685721,941971
4165,Subhash Passi,SAIDPUR (SC),SP,0,10th Pass,408225865,71500000
4166,Subhash Singh,CHHAPRAULI,IND,0,Post Graduate,12026000,0
4167,Subhash Tripathi,PAYAGPUR,BJP,1,Post Graduate,27955402,600000
4168,Subhashchandra,MUNGRA BADSHAHPUR,CPI,0,Literate,2484200,125000
4169,Subodh Kumar,SIDHAULI (SC),Lok Dal,0,12th Pass,132503,0
4170,Suchi,BIJNOR,BJP,0,Post Graduate,10039039,0
4171,Suchit Ram Gond,BAIRIA,Gondvana Gantantra Party,0,12th Pass,1010800,0
4172,Sudama Devi Yadav,SHAHGANJ,IND,0,12th Pass,24670000,0
4173,Sudesh Sharma,MODI NAGAR,RLD,3,10th Pass,71932933,0
4174,Sudha Devi,BASTI SADAR,Akhil Bharat Samagra Kranti Party,0,Illiterate,2875457,100000
4175,Sudha Gupta,KANPUR CANTT.,Bhartiya Shakti Chetna Party,0,Graduate,2177073,0
4176,Sudha Patel,PHAPHAMAU,Bhartiya Sangam Party,0,Graduate,4585000,0
4177,Sudhakar,GHOSI,SP,3,Post Graduate,8232261,38000
4178,Sudhakar Pandey,KUSHINAGAR,IND,0,Graduate,70000,0
4179,Sudhan Kumar,MURADNAGAR,BSP,0,Graduate,333037721,0
4180,Sudhir,BARAUT,Swarajya Party Of India,0,Post Graduate,8399000,0
4181,Sudhir,KASGANJ,Mahan Dal,1,Graduate,31265796,5663000
4182,Sudhir Bhardwaj,SAHIBABAD,IND,3,Illiterate,17812000,5000000
4183,Sudhir Dubey,BAH,RLD,0,Graduate,13224000,200000
4184,Sudhir Kant,MAHARAJPUR,Bahujan Mukti Party,0,Post Graduate,4623617,1400000
4185,Sudhir Kumar,TIRWA,IND,0,Not Given,663000,0
4186,Sudhir Kumar,SAFIPUR (SC),SP,0,Graduate,16343249,1852254
4187,Sudhir Kumar,UNCHAHAR,Jan Adhikar Party,0,Graduate,301000,1000
4188,Sudhir Kumar,SAWAYAZPUR,IND,0,Graduate,603000,0
4189,Sudhir Kumar,THANA BHAWAN,SP,0,Doctorate,13530369,3771957
4190,Sugreev Prasad,KAPTANGANJ,Bahujan Mukti Party,0,Literate,241000,100000
4191,Suhavan,MEHNAUN,Bharatrashtra Democratic Party,0,Graduate,2043000,0
4192,Sujeet,KARACHHANA,IND,0,Literate,115000,0
4193,Sujeet Kumar,VARANASI NORTH,BSP,0,12th Pass,2251150,348314
4194,Sujit Singh Tika,VARANASI NORTH,IND,2,Graduate,161398,0
4195,Sukharaj,SHOHRATGARH,IND,0,12th Pass,2941937,0
4196,Sukhdayal,MEHRONI (SC),IND,0,Graduate Professional,9102823,1795000
4197,Sukhdev,BHAGWANTNAGAR,Swarajya Party Of India,0,8th Pass,284000,0
4198,Sukhdev Prasad,BINDKI,BSP,0,8th Pass,49883749,0
4199,Sukhdev Rajbhar,DIDARGANJ,BSP,0,Graduate Professional,21104514,0
4200,Sukhlal Nishad,MANIKPUR,Nirbal Indian Shoshit Hamara Aam Dal,0,12th Pass,2080000,0
4201,Sukhnayan,DIDARGANJ,Jan Shakti Ekta Party,0,10th Pass,1265000,0
4202,Sukhraj,AYAH SHAH,IND,0,8th Pass,15395000,3000000
4203,Sukhram,MACHHLISHAHR (SC),Ojaswi Party,0,10th Pass,650000,0
4204,Sukhram Singhh,ORAI (SC),Bahujan Mukti Party,0,Post Graduate,1757500,0
4205,Sukhrani,ETAWAH,Manav Hit Party,0,8th Pass,4707804,0
4206,Sukhveer Singh,TILHAR,Lok Dal,0,Graduate Professional,1408000,0
4207,Sukhvendra Singh,ETAH,IND,0,Graduate,8523000,0
4208,Sukhvir,ALIGANJ,IND,0,10th Pass,360000,0
4209,Sulabh Trivedi,HARDOI,CPI,0,Post Graduate,28800,0
4210,Sulekha Singh,IGLAS (SC),RLD,0,12th Pass,7896000,65000
4211,Suleman Beg,BHOJIPURA,BSP,2,12th Pass,37285420,0
4212,Sulochna,BARA (SC),RLD,0,10th Pass,212000,0
4213,Sultan Ahmad Khan,MATERA,BSP,1,Post Graduate,238000,0
4214,Sultan Beg,MEERGANJ,BSP,2,Post Graduate,15652254,1074902
4215,Sultan Singh,GHAZIABAD,RLD,0,10th Pass,23487737,0
4216,Suman,PANIYRA,Nirbal Indian Shoshit Hamara Aam Dal,0,12th Pass,9500000,360000
4217,Suman,MEHNAGAR (SC),Mahakranti Dal,0,Graduate,25000,0
4218,Suman Devi,AURAI (SC),Uttar Pradesh Republican Party,0,8th Pass,387171,0
4219,Suman Diwakar,KISHNI (SC),Jan Adhikar Manch,0,Post Graduate,8550038,1600000
4220,Suman Gupta,HARDOI,IND,0,5th Pass,175000,0
4221,Suman Mishra,DARIYABAD,IND,0,5th Pass,1030128,0
4222,Sumat Pal Kashyap,BUDHANA,SHS,0,Literate,1221000,40000
4223,Sumit,MODI NAGAR,IND,0,Graduate,26475,0
4224,Sumita Vaid,JEWAR,IND,0,Post Graduate,11441505,5416939
4225,Sumpatti Devi,ALAPUR (SC),IND,0,Illiterate,291000,0
4226,Sundar Lal,BANGERMAU,IND,0,5th Pass,318500,360
4228,Sundar Lal Kisan,BHOGNIPUR,IND,0,10th Pass,90600,0
4229,Sundari Devi,LAHARPUR,IND,0,8th Pass,10000,0
4230,Sunder Kashyap,ARYA NAGAR,IND,0,8th Pass,7598293,0
4231,Suneel Kumar,DHAURAHRA,Peace Party,0,8th Pass,912580,0
4232,Suneel Kumar,BARABANKI,Bahujan Mukti Party,0,12th Pass,1370000,0
4233,Suneet Chauhan,ETAH,IND,0,Post Graduate,22000,0
4234,Suneet Kumar Singh,SAWAYAZPUR,Mahan Dal,0,12th Pass,859500,0
4235,Suneeta Devi,KATRA,Mahan Dal,0,5th Pass,511000,10000
4236,Sunil,KARHAL,IND,1,12th Pass,345000,0
4237,Sunil,KANNAUJ (SC),IND,0,Not Given,15778,0
4238,Sunil,THANA BHAWAN,IND,0,12th Pass,308681,0
4239,Sunil,FAZILNAGAR,IND,1,Post Graduate,895000,0
4240,Sunil,RASARA,Rashtriya Jantantrik Bharat Vikas Party,0,12th Pass,595828,0
4241,Sunil,MAHARAJGANJ (SC),IND,0,Graduate Professional,2675000,0
4242,Sunil,BALLIA NAGAR,IND,0,10th Pass,270000,0
4243,Sunil Choudhary,NOIDA,SP,0,12th Pass,153368960,858000
4244,Sunil Dutt Sharma,CHHARRA,IND,0,Post Graduate,5440000,0
4245,Sunil Kumar,BAH,Nirbal Indian Shoshit Hamara Aam Dal,0,Literate,1748000,0
4246,Sunil Kumar,ALLAHABAD NORTH,Bahujan Mukti Party,0,Graduate,271421,0
4247,Sunil Kumar,KHAGA (SC),BSP,0,Graduate,28930947,0
4248,Sunil Kumar,ALLAHABAD WEST,RLD,1,Graduate Professional,1031700,0
4249,Sunil Kumar,KISHNI (SC),BJP,1,Others,27190054,100000
4250,Sunil Kumar,MOHAN (SC),Bahujan Mukti Party,0,12th Pass,2542500,0
4251,Sunil Kumar,BHONGAON,IND,0,10th Pass,184000,0
4252,Sunil Kumar,BAKSHI KAA TALAB,Rashtriya Janadhar Party,0,10th Pass,440000,0
4253,Sunil Kumar,LAHARPUR,BJP,0,Post Graduate,15134278,600000
4254,Sunil Kumar Gupta,ALLAHABAD NORTH,Bharat Kranti Rakshak Party,0,8th Pass,2960000,0
4255,Sunil Kumar Lala,KASTA (SC),SP,0,8th Pass,11446510,250000
4256,Sunil Kumar Maurya,VARANASI CANTT.,IND,0,Post Graduate,3903094,89000
4257,Sunil Kumar Rajpasi,SORAON (SC),Bharat Kranti Rakshak Party,0,Post Graduate,210000,0
4258,Sunil Kumar Sharma,SAHIBABAD,BJP,2,Post Graduate,10401609,1625431
4259,Sunil Kumar Shukla,VARANASI CANTT.,IND,0,12th Pass,1199000,0
4260,Sunil Kumar Singh,JAUNPUR,RLD,0,Graduate,2260524,0
4261,Sunil Kumar Tiwari,HARCHANDPUR,Peace Party,0,Post Graduate,2319190,1089500
4262,Sunil Kumar Yadav,ROBERTSGANJ,BSP,0,Graduate,50082856,2003550
4263,Sunil Pankaj,ETMADPUR,Jan Adhikar Manch,0,Graduate,2338000,1600000
4264,Sunil Prajapati,JHANSI NAGAR,IND,0,Graduate Professional,4190260,0
4265,Sunila,BISWAN,IND,0,Literate,13538,0
4266,Sunita,SAROJINI NAGAR,Bhartiya Shakti Chetna Party,0,Post Graduate,2229400,22000
4267,Sunita,LALGANJ (SC),Bahujan Mukti Party,0,Graduate,963000,0
4268,Sunita,ZAMANIA,BJP,0,Graduate,153833889,25867770
4269,Sunita Chaudhary,MISRIKH (SC),RLD,0,12th Pass,740000,0
4270,Sunita Devi,BALLIA NAGAR,Bahujan Mukti Party,0,Literate,91000,0
4271,Sunita Singh,NEHTAUR (SC),Bharatiya Momin Front,0,5th Pass,941500,0
4272,Sunita Yadav,KHALILABAD,IND,0,Literate,4639786,400000
4273,Suraj,VARANASI CANTT.,Bharat Kalyan Party,0,Not Given,0,0
4274,Suraj Bali,BILGRAM MALLANWAN,Bharatiya Subhash Sena,0,5th Pass,185000,0
4275,Suraj Pal,KATRA,IND,0,Literate,290000,0
4276,Suraj Singh,GONDA,SP,0,Graduate Professional,43224366,6379383
4277,Surajan,PATHARDEVA,Bahujan Mukti Party,0,Graduate,265200,0
4278,Surajpal Singh,FATEHPUR SIKRI,BSP,0,8th Pass,20702367,4086811
4279,Suralidhar,SEVAPURI,IND,0,Graduate,13091000,0
4280,Surat Singh,LUCKNOW WEST,Lok Dal,0,Post Graduate,13594000,0
4281,Surbjit,CHAURI-CHAURA,IND,0,8th Pass,527000,0
4282,Surendar Dalmiya,NANPARA,IND,0,Graduate,3402679,0
4283,Surender Prakash,MURADNAGAR,INC,4,8th Pass,71227311,100000
4284,Surendra,MEJA,BSP,0,Post Graduate,66854567,20606598
4285,Surendra,BISAULI (SC),IND,0,12th Pass,13713145,291120
4286,Surendra,NAUGAWAN SADAT,Inqalab Vikas Dal,0,12th Pass,7816000,0
4287,Surendra,BAIRIA,BJP,8,Post Graduate,7232825,50000
4288,Surendra,MOHAMMADABAD,CPI,0,12th Pass,999000,0
4289,Surendra,TARABGANJ,IND,0,Graduate Professional,4497530,211000
4290,Surendra Bahadur,RAMPUR KHAS,Bharatiya Rashtriya Bahujan Samaj Vikas Party,0,8th Pass,240300,0
4291,Surendra Kumar,BALAMAU (SC),Jan Adhikar Manch,8,Graduate,7170000,0
4292,Surendra Kumar,KHATAULI,Akhil Bharat Hindu Mahasabha,0,Literate,232000,0
4293,Surendra Kumar,FARRUKHABAD,RLD,0,Graduate,81200,0
4294,Surendra Kumar,SORAON (SC),BJP,0,Post Graduate,5705000,1460000
4295,Surendra Kumar Gupta,AKBARPUR-RANIYA,Jan Adhikar Manch,0,10th Pass,15926000,1460078
4296,Surendra Kumar Verma,CHANDPUR,RLD,0,Post Graduate,97096971,0
4297,Surendra Kumar Yadav,RUDHAULI,Bahujan Mukti Party,0,Graduate,1066500,0
4298,Surendra Narayan Singh,ROHANIYA,BJP,0,Post Graduate,45018299,0
4299,Surendra Nath,HARDOI,IND,0,Graduate,4214000,0
4300,Surendra Prasad,BALLIA NAGAR,IND,0,12th Pass,20000,0
4301,Surendra Rajpoot,BITHOOR,SHS,0,8th Pass,226069,0
4302,Surendra Singh,CHHIBRAMAU,Sabka Dal United,0,12th Pass,42000,0
4303,Surendra Singh,RAMPUR KHAS,NCP,0,Post Graduate,1165086,0
4304,Surendra Singh,BILHAUR (SC),Bharatiya Subhash Sena,0,Graduate,185000,0
4305,Surendra Singh,BARABANKI,BSP,0,Graduate Professional,78211592,3955000
4306,Surendra Singh,BHONGAON,BSP,2,Post Graduate,12174947,7392143
4307,Surendra Singh Patel,SEVAPURI,SP,2,Literate,35388932,2049765
4308,Suresh,CHHANBEY (SC),CPI(ML)(L),1,Literate,13000,0
4309,Suresh,BANSI,Bharatiya Eklavya Party,0,Literate,20500,0
4310,Suresh,BARHAJ,RLD,0,12th Pass,7605720,178252
4311,Suresh,CHAURI-CHAURA,IND,0,8th Pass,5694393,0
4312,Suresh,BHADOHI,IND,0,8th Pass,30000,0
4313,Suresh,SAFIPUR (SC),IND,0,Graduate,453094,0
4314,Suresh,MAINPURI,IND,0,8th Pass,427400,150000
4315,Suresh,DHAURAHRA,Bharatiya Subhash Sena,0,Not Given,9303000,168000
4316,Suresh,FATEHPUR,Bahujan Mukti Party,0,Literate,820000,0
4317,Suresh,FARRUKHABAD,IND,0,12th Pass,2244500,0
4318,Suresh,SAFIPUR (SC),IND,0,5th Pass,1194000,0
4319,Suresh,JALESAR (SC),IND,0,Not Given,113718,0
4320,Suresh Awasthi,SISHAMAU,BJP,1,Post Graduate,58387727,1039041
4321,Suresh Bansal,GHAZIABAD,BSP,0,Post Graduate,108145684,0
4322,Suresh Chand Shishodiya,DHOLANA,SHS,0,Graduate,7379499,76710
4323,Suresh Chandra,GUNNAUR,IND,0,Literate,3864550,155000
4324,Suresh Chandra,LAHARPUR,Awami Samta Party,0,5th Pass,0,0
4325,Suresh Chandra,BILARI,BJP,0,12th Pass,16947000,1650000
4326,Suresh Chandra Baghel,MATHURA,IND,1,Literate,20000,0
4327,Suresh Chandra Srivastava,BARABANKI,Bharatiya Subhash Sena,0,10th Pass,2521212,0
4328,Suresh Chaudhary,SALON (SC),INC,1,12th Pass,19487939,4756877
4329,Suresh Kumar,RAMPUR MANIHARAN(SC),Bahujan Mukti Party,0,Literate,534000,0
4330,Suresh Kumar,BARA (SC),INC,0,Graduate,15008832,0
4331,Suresh Kumar,THANA BHAWAN,BJP,4,12th Pass,4002866,0
4332,Suresh Kumar,JAGDISHPUR (SC),BJP,0,12th Pass,9761462,1180000
4333,Suresh Kumar,PRATAPPUR,RLD,0,Graduate,1199032,18000
4334,Suresh Kumar,AURAI (SC),Nirbal Indian Shoshit Hamara Aam Dal,2,12th Pass,870126,0
4335,Suresh Kumar Khanna,SHAHJAHANPUR,BJP,0,Graduate Professional,8083249,60000
4336,Suresh Kumar Nishad,TINDWARI,Bahujan Mukti Party,0,Graduate Professional,2993911,0
4337,Suresh Kumar Pal,UNNAO,IND,0,Graduate,127734034,700713
4338,Suresh Kumar Shrivastav,LUCKNOW WEST,BJP,1,Graduate Professional,12648215,0
4339,Suresh Kumar Srivastava,LUCKNOW CENTRAL,Swarajya Party Of India,0,Graduate Professional,4715401,100000
4340,Suresh Pathak,RAM NAGAR,SHS,0,Graduate Professional,320903,0
4341,Suresh Rahi,HARGAON (SC),BJP,0,Post Graduate,13181416,0
4342,Suresh Tiwari,BARHAJ,BJP,0,8th Pass,119002462,0
4343,Sureshwar Singh,MAHASI,BJP,6,12th Pass,16346286,1286438
4344,Surjeet,DARIYABAD,RLD,1,12th Pass,100000,0
4345,Surjeet Singh,KIDWAI NAGAR,Voters Party International,0,8th Pass,52237,0
4346,Surjeet Singh,MAINPURI,IND,0,10th Pass,929550,0
4347,Surjeet Singh,PIPRAICH,Bhartiya Shakti Chetna Party,0,Graduate,1009000,0
4348,Surya Bhan Singh,MEJA,IND,0,Post Graduate,976113,0
4349,Surya Bhan Singh,SULTANPUR,BJP,0,10th Pass,85026400,2400821
4350,Surya Kumar,MADHUBAN,IND,0,10th Pass,985000,200000
4351,Surya Prakash,MAJHAWAN,Manavadhikar Janshakti Party,0,10th Pass,5163700,125000
4352,Surya Prakash,BARKHERA,IND,0,10th Pass,10844931,0
4353,Surya Prakash Singh,HARRAIYA,IND,0,8th Pass,501500,0
4354,Surya Pratap,PATHARDEVA,BJP,3,Graduate Professional,48969014,234969
4355,Suryabhan,MUHAMMADABAD-GOHNA (SC),Jan Adhikar Party,0,Post Graduate,387437,0
4356,Suryakant Pandey,AYODHYA,CPI,0,10th Pass,2506150,0
4357,Suryamani,RUDHAULI,IND,0,Graduate,96060,0
4358,Suryamuni Tiwari,SAKALDIHA,BJP,0,12th Pass,14437755,6472262
4359,Sushant Kumar,BARHAPUR,BJP,0,Graduate,50446361,7275662
4360,Sushanti,GARAUTHA,IND,0,Literate,4209000,0
4361,Susheel Kumar,CHARKHARI,Bhartiya Shakti Chetna Party,0,10th Pass,5838236,0
4362,Susheel Kumar Gautam,BAREILLY CANTT.,Bahujan Mukti Party,0,12th Pass,1865000,0
4363,Sushil,GYANPUR,CPI,0,12th Pass,3740298,0
4364,Sushil Kumar,GYANPUR,Bahujan Mukti Party,0,10th Pass,10000,0
4365,Sushil Kumar,VISHWANATH GANJ,Rashtriya Janta Party,0,12th Pass,301000,0
4366,Sushil Kumar,RANIGANJ,IND,0,10th Pass,1729000,0
4367,Sushil Kumar,SIRATHU,SHS,0,Graduate Professional,3683199,394000
4368,Sushil Kumar,AYODHYA,Adhikar Party,3,Graduate,34319086,12157119
4369,Sushil Kumar Dhangarsuresh Chaudhary,SALON (SC),IND,0,Post Graduate,9281600,10000
4370,Sushil Kumar Pasi,BACHHRAWAN (SC),IND,0,Post Graduate,14440519,790000
4371,Sushil Kumar Shakya,AMRITPUR,BJP,0,12th Pass,16967945,800000
4372,Sushil Kumar Singh,SAROJINI NAGAR,Rashtravyapi Janta Party,0,12th Pass,2168000,34000
4373,Sushil Kumar Verma,KIDWAI NAGAR,IND,0,Graduate Professional,147621,0
4374,Sushil Kumarsushil Kumar,CHHANBEY (SC),Rashtriya Samaj Paksha,0,Graduate Professional,975000,0
4375,Sushil Singh,SAIYADRAJA,BJP,5,12th Pass,136377517,17217882
4376,Sushila,MACHHLISHAHR (SC),BSP,0,8th Pass,356358319,36688000
4377,Sushila Saroj,BALAMAU (SC),SP,8,Post Graduate,99404805,0
4378,Sushma,MUNGRA BADSHAHPUR,BSP,0,Doctorate,15353000,2560000
4379,Suvedar,KARACHHANA,IND,0,10th Pass,40000,0
4380,Suvrat Koshik,VARANASI NORTH,IND,0,10th Pass,1380898,0
4381,Svati,MOHAMMADABAD,Samajwadi Janata Party (ChandraShekhar),0,Post Graduate,15000,0
4382,Swami Prasad Maurya,PADRAUNA,BJP,1,Post Graduate,12780203,0
4383,Swaminath,TAMKUHI RAJ,RLD,0,10th Pass,205500,0
4384,Swarit Chaudhary,SAFIPUR (SC),IND,0,Post Graduate,14210804,7746993
4385,Swati Singh,SAROJINI NAGAR,BJP,0,Post Graduate,28859492,0
4386,Swayambar Prasad,GAINSARI,Nirbal Indian Shoshit Hamara Aam Dal,0,12th Pass,66000,0
4387,Syed Afzaal Muzib,ALLAHABAD SOUTH,All India Majlis-E-Ittehadul Muslimeen,0,Graduate,45237535,0
4388,Syed Himayat Ali,ANUPSHAHR,SP,0,10th Pass,86598107,852956
4389,Syed Mujeed Ahmad,SULTANPUR,BSP,0,12th Pass,42443308,845380
4390,Syed Rashid Ali,BAREILLY,IND,0,Post Graduate,6455000,0
4391,Syed Suhail Ahmad,RUDAULI,Bahujan Mukti Party,2,Literate,14391251,5797
4392,Syyed Farhat Azmi,LUCKNOW WEST,Akhil Bhartiya Vikas Congress Party,0,Illiterate,89400,0
4393,Syyed Hasan Kausar,LUCKNOW WEST,IND,0,12th Pass,470566,0
4394,Tafsirullah,KHALILABAD,All India Majlis-E-Ittehadul Muslimeen,0,Graduate,23849000,600000
4395,Tahir Husain,BARHAPUR,IND,0,Literate,7080000,0
4396,Tahir Hussain Siddiqui,CHHIBRAMAU,BSP,0,Graduate,131938559,16579000
4397,Tahseen Ahamad,PHULPUR,Parivartan Samaj Party,0,10th Pass,615000,0
4398,Taj Mohd. (Taj Chaudhary),MURADNAGAR,IND,0,12th Pass,11373045,900000
4399,Talat Azim,CHAIL,INC,0,Graduate Professional,14426044,569005
4400,Talat Aziz,PANIYRA,INC,0,Graduate Professional,45263966,769570
4401,Talat Khan,SAHARANPUR NAGAR,All India Majlis-E-Ittehadul Muslimeen,0,5th Pass,89060259,0
4402,Tameshvar,ROBERTSGANJ,IND,0,10th Pass,285330,0
4403,Tanuj Punia,ZAIDPUR (SC),INC,0,Graduate,1179998,0
4404,Tanveer Khan,SHAHJAHANPUR,SP,4,Graduate,14787582,0
4405,Tara Devi,BELTHARA ROAD (SC),Purvanchal Janta Dal,0,Not Given,30000,0
4406,Tarkeshwar Chaturvedi,BAREILLY,CPI,0,Graduate Professional,4463335,0
4407,Tarun Kumar,SARDHANA,Bharatiya Bahujan Parivartan Party,0,12th Pass,1785000,0
4408,Tarun Pratap,GOPAMAU (SC),IND,0,10th Pass,550000,0
4409,Tarunendra Chandra Patel,GAURA,INC,0,Post Graduate,3055000,0
4410,Tasabbar Husain,NAWABGANJ,IND,0,8th Pass,325000,0
4411,Tasauvar,PINDRA,IND,0,12th Pass,3036000,0
4412,Tasauwar,BHADOHI,IND,0,Literate,987700,0
4413,Taskeen,CHHIBRAMAU,IND,0,12th Pass,195626052,36272866
4414,Tasleem Ahmad,NAJIBABAD,SP,0,Literate,11411983,1399252
4415,Tauqeer Khan,ZAMANIA,Jan Adhikar Party,0,Graduate Professional,1365000,0
4416,Tazeem Siddiqui,NAJIBABAD,All India Majlis-E-Ittehadul Muslimeen,0,Literate,3014862,0
4417,Tej Bahadur Singh,MUBARAKPUR,RLD,0,Not Given,0,0
4418,Tej Kumar Shukla,LUCKNOW EAST,Indian Savarn Samaj Party,0,Graduate,2757303,0
4419,Tej Narayan,AYODHYA,SP,7,Post Graduate,1103750,2113122
4420,Tej Singh Verma,CHAIL,Swatantra Jantaraj Party,0,Graduate,46500,0
4421,Tejbali,KORAON (SC),IND,0,Graduate,796000,0
4422,Tejendra Nirwal,SHAMLI,BJP,0,Post Graduate,15258057,3106162
4423,Tejpal Singh Nagar,DADRI,BJP,0,Post Graduate,28999784,918550
4424,Tejveer Singh,AGRA NORTH,Peace Party,0,Graduate,231000,0
4425,Th. Mool Chand Chauhan,DHAMPUR,SP,2,Post Graduate,37877739,2089361
4426,Thakur Somveer Singh,KOIL,Sarva Samaj Kalyan Party,0,Post Graduate,1695000,0
4427,Thakur Jaivir Singh,BARAULI,BSP,0,Post Graduate,99939559,4934388
4428,Thakur Prasad Yadav,SARENI,BSP,0,12th Pass,89442518,17444263
4429,Thakur Rakesh Singh,CHHARRA,SP,1,Graduate Professional,13103495,0
4430,Thakur Sunil Singh,SYANA,RLD,2,Graduate,33863728,18599380
4431,Thomsan Massey,AGRA SOUTH,IND,0,8th Pass,57000,0
4432,Tiger Ramnihor Patel,AKBARPUR,IND,0,8th Pass,5356360,0
4433,Tilak Chandra,BALAMAU (SC),Lok Dal,1,Graduate,9116115,100000
4434,Tilak Dhari,MUGHALSARAI,BSP,4,8th Pass,4424244,829920
4435,Tilak Ram,GAURA,Bahujan Mukti Party,0,5th Pass,864500,0
4436,Tilak Ram,SITAPUR,All India Pichhada Jan Samaj Party,0,5th Pass,60000,0
4437,Tilakraj,JAGDISHPUR (SC),Most Backward Classes Of India,0,Post Graduate,1108585,0
4438,Toda Singh,BARHAPUR,Bharatiya Subhash Sena,0,8th Pass,3426500,0
