Constituency,Candidate,Party,Votes
Uttar Pradesh - Kairana,DIWAKAR DESHWAL,Bahujan Samaj Party,6888
Uttar Pradesh - Kairana,MASEEHULLA,All India Majlis-E-Ittehadul Muslimeen,1365
Uttar Pradesh - Kairana,SARFARAJ KHAN,Lok Dal,1127
Uttar Pradesh - Kairana,SETHPAL,Independent,623
Uttar Pradesh - Kairana,DHARMVEER,Independent,545
Uttar Pradesh - Kairana,VINOD KUMAR,Independent,496
Uttar Pradesh - Kairana,SAHENDRA PAL,Bhartiya Vanchitsamaj Party,290
Uttar Pradesh - Kairana,SANDEEP,Bahujan Mukti Party,250
Uttar Pradesh - Kairana,None of the Above,None of the Above,1060
Uttar Pradesh - Thana Bhawan,SURESH KUMAR,Bharatiya Janata Party,90995
Uttar Pradesh - Thana Bhawan,ABDUL WARIS KHAN,Bahujan Samaj Party,74178
Uttar Pradesh - Thana Bhawan,JAVED RAO,Rashtriya Lok Dal,31275
Uttar Pradesh - Thana Bhawan,SUDHIR KUMAR,Samajwadi Party,13480
Uttar Pradesh - Thana Bhawan,MOHD NASIR,Bahujan Mukti Party,561
Uttar Pradesh - Thana Bhawan,RAHAT ALI,Independent,378
Uttar Pradesh - Thana Bhawan,SUNIL,Independent,318
Uttar Pradesh - Thana Bhawan,SAHDEV,Independent,225
Uttar Pradesh - Thana Bhawan,MANJU,Independent,210
Uttar Pradesh - Thana Bhawan,PARVEZ ALI,Independent,188
Uttar Pradesh - Thana Bhawan,None of the Above,None of the Above,883
Uttar Pradesh - Shamli,TEJENDRA NIRWAL,Bharatiya Janata Party,70085
Uttar Pradesh - Shamli,PANKAJ KUMAR MALIK,Indian National Congress,40365
Uttar Pradesh - Shamli,BIJENDRA SINGH,Rashtriya Lok Dal,33551
Uttar Pradesh - Shamli,MANISH KUMAR,Independent,31824
Uttar Pradesh - Shamli,MOHAMMAD ISLAM,Bahujan Samaj Party,17114
Uttar Pradesh - Shamli,BILAL A,Peace Party,820
Uttar Pradesh - Shamli,SANJEEV KUMAR,Independent,379
Uttar Pradesh - Shamli,SANJEEV,Independent,294
Uttar Pradesh - Shamli,MOHD. GUFRAN KAZMI,Independent,294
Uttar Pradesh - Shamli,ARVIND KUMAR,Bahujan Mukti Party,278
Uttar Pradesh - Shamli,OMPAL,Bharat Janta Dal (Tughlaq),233
Uttar Pradesh - Shamli,LOKENDRA KUMAR,Independent,209
Uttar Pradesh - Shamli,None of the Above,None of the Above,901
Uttar Pradesh - Budhana,UMESH MALIK,Bharatiya Janata Party,97781
Uttar Pradesh - Budhana,PRAMOD TYAGI,Samajwadi Party,84580
Uttar Pradesh - Budhana,SAEEDA BEGAM,Bahujan Samaj Party,30034
Uttar Pradesh - Budhana,YOGRAJ SINGH,Rashtriya Lok Dal,23732
Uttar Pradesh - Budhana,SHOBHA RAM,Independent,699
Uttar Pradesh - Budhana,MOHD. RASHEED KASSAR,Independent,666
Uttar Pradesh - Budhana,DINESH KUMAR,Nirbal Indian Shoshit Hamara Aam Dal,611
Uttar Pradesh - Budhana,JAMEEL,National Lokmat Party,400
Uttar Pradesh - Budhana,MANOJ,Rashtriya Kisan Majdoor Party,361
Uttar Pradesh - Budhana,RIZWAN,Independent,276
Uttar Pradesh - Budhana,CH. RAJKUMAR BALIYAN,Independent,222
Uttar Pradesh - Budhana,SUMAT PAL KASHYAP,Shivsena,145
Uttar Pradesh - Budhana,JAGAPAL,Independent,136
Uttar Pradesh - Budhana,ANIL,Independent,106
Uttar Pradesh - Budhana,MOHD. GULAFAM,Independent,81
Uttar Pradesh - Budhana,None of the Above,None of the Above,1286
Uttar Pradesh - Charthawal,VIJAY KUMAR KASHYAP,Bharatiya Janata Party,82046
Uttar Pradesh - Charthawal,MUKESH KUMAR CHAUDHARY,Samajwadi Party,58815
Uttar Pradesh - Charthawal,NOOR SALEEM RANA,Bahujan Samaj Party,47704
Uttar Pradesh - Charthawal,SALMAN ZAIDI,Rashtriya Lok Dal,14442
Uttar Pradesh - Charthawal,VISHAL KUMAR,Nirbal Indian Shoshit Hamara Aam Dal,975
Uttar Pradesh - Charthawal,AMITA SINGH,Lok Dal,549
Uttar Pradesh - Charthawal,ADESH KUMAR,Independent,444
Uttar Pradesh - Charthawal,FURAKAN,Independent,385
Uttar Pradesh - Charthawal,JAIPAL SINGH SAINI,Jansatta Party,305
Uttar Pradesh - Charthawal,ARSAD MANSURI,Akhil Bhartiya Vikas Congress Party,281
Uttar Pradesh - Charthawal,None of the Above,None of the Above,1018
Uttar Pradesh - Purqazi,PRAMOD UTWAL,Bharatiya Janata Party,77491
Uttar Pradesh - Purqazi,DEEPAK KUMAR,Indian National Congress,66238
Uttar Pradesh - Purqazi,ANIL KUMAR,Bahujan Samaj Party,46401
Uttar Pradesh - Purqazi,CHOTI,Rashtriya Lok Dal,8227
Uttar Pradesh - Purqazi,UMA KIRAN,Samajwadi Party,2570
Uttar Pradesh - Purqazi,KAVITA,Nirbal Indian Shoshit Hamara Aam Dal,871
Uttar Pradesh - Purqazi,ANIL KUMAR,Bahujan Mukti Party,579
Uttar Pradesh - Purqazi,MANOJ KUMAR,Independent,298
Uttar Pradesh - Purqazi,MITVA BHANVAR,National Lokmat Party,260
Uttar Pradesh - Purqazi,AATMARAM,Independent,245
Uttar Pradesh - Purqazi,None of the Above,None of the Above,1139
Uttar Pradesh - Muzaffar Nagar,KAPIL DEV AGARWAL,Bharatiya Janata Party,97838
Uttar Pradesh - Muzaffar Nagar,GAURAV SWARUP BANSAL,Samajwadi Party,87134
Uttar Pradesh - Muzaffar Nagar,RAKESH KUMAR SHARMA,Bahujan Samaj Party,21038
Uttar Pradesh - Muzaffar Nagar,PAYAL MAHESHWARI,Rashtriya Lok Dal,5640
Uttar Pradesh - Muzaffar Nagar,SANGITA,Independent,1008
Uttar Pradesh - Muzaffar Nagar,MURTAZA SALMANI,Communist Party of India,491
Uttar Pradesh - Muzaffar Nagar,SHAHZAMA KHAN,Independent,249
Uttar Pradesh - Muzaffar Nagar,ZAKIR ALI RANA,Independent,240
Uttar Pradesh - Muzaffar Nagar,RAJ KISHOR,Independent,199
Uttar Pradesh - Muzaffar Nagar,KRISHAN PAL SINGH,Bharat Lok Sewak Party,177
Uttar Pradesh - Muzaffar Nagar,JAMSHED,Independent,131
Uttar Pradesh - Muzaffar Nagar,KARAN SINGH SAINI,Jansatta Party,92
Uttar Pradesh - Muzaffar Nagar,REENU ALIAS SAKSHI,Akhil Bharat Hindu Mahasabha,81
Uttar Pradesh - Muzaffar Nagar,BABITA,Bhartiya Rashtriya Jansatta,55
Uttar Pradesh - Muzaffar Nagar,SANJAY KUMAR,Bharat Janta Dal (Tughlaq),52
Uttar Pradesh - Muzaffar Nagar,RISHI RAM,Independent,44
Uttar Pradesh - Muzaffar Nagar,None of the Above,None of the Above,1133
Uttar Pradesh - Khatauli,VIKRAM SINGH,Bharatiya Janata Party,94771
Uttar Pradesh - Khatauli,CHANDAN SINGH CHAUHAN,Samajwadi Party,63397
Uttar Pradesh - Khatauli,SHIVAN SINGH SAINI,Bahujan Samaj Party,37380
Uttar Pradesh - Khatauli,SHAHNAWAZ RANA,Rashtriya Lok Dal,12846
Uttar Pradesh - Khatauli,BRAHM SINGH,Communist Party of India,823
Uttar Pradesh - Khatauli,JANARDAN SHARMA,Hindustan Utthan Party,626
Uttar Pradesh - Khatauli,YAJPAL,Independent,598
Uttar Pradesh - Khatauli,SURENDRA KUMAR,Akhil Bharat Hindu Mahasabha,332
Uttar Pradesh - Khatauli,ADESH,Bharatiya Bahujan Parivartan  Party,315
Uttar Pradesh - Khatauli,DEEPAK KUMAR,Independent,315
Uttar Pradesh - Khatauli,BHARATVIR,Independent,312
Uttar Pradesh - Khatauli,AASHI GAUR,Lok Dal,207
Uttar Pradesh - Khatauli,SATAYVEER SINGH,Independent,201
Uttar Pradesh - Khatauli,BRAJ BHUSHAN,Bhartiya Sarvodaya Party,148
Uttar Pradesh - Khatauli,MAYA,Akhil Bhartiya Vikas Congress Party,131
Uttar Pradesh - Khatauli,None of the Above,None of the Above,694
Uttar Pradesh - Meerapur,AVTAR SINGH BHADANA,Bharatiya Janata Party,69035
Uttar Pradesh - Meerapur,LIYAKAT ALI,Samajwadi Party,68842
Uttar Pradesh - Meerapur,NAWAZISH ALAM KHAN,Bahujan Samaj Party,39689
Uttar Pradesh - Meerapur,MITHLESHPAL,Rashtriya Lok Dal,22751
Uttar Pradesh - Meerapur,SANDEEP KUMAR,Nirbal Indian Shoshit Hamara Aam Dal,474
Uttar Pradesh - Meerapur,IMRANA,Akhil Bhartiya Vikas Congress Party,462
Uttar Pradesh - Meerapur,MOH. MOOSA,Independent,451
Uttar Pradesh - Meerapur,NABAB ALI,Independent,305
Uttar Pradesh - Meerapur,MOH. JISHAN,Bahujan Mukti Party,292
Uttar Pradesh - Meerapur,ADESH KUMAR,Independent,238
Uttar Pradesh - Meerapur,MANOJ SAINI,Shivsena,237
Uttar Pradesh - Meerapur,MOTIRAM,Majdoor Kisan Union Party,200
Uttar Pradesh - Meerapur,DHARAMVEER SINGH SAINI,Jansatta Party,174
Uttar Pradesh - Meerapur,ANJUM KAMAL,Independent,165
Uttar Pradesh - Meerapur,None of the Above,None of the Above,1090
Uttar Pradesh - Najibabad,TASLEEM AHMAD,Samajwadi Party,81082
Uttar Pradesh - Najibabad,RAJIV KUMAR AGARWAL,Bharatiya Janata Party,79080
Uttar Pradesh - Najibabad,JAMEEL AHMAD,Bahujan Samaj Party,45070
Uttar Pradesh - Najibabad,LEENA SINGHAL,Rashtriya Lok Dal,3587
Uttar Pradesh - Najibabad,TAZEEM SIDDIQUI,All India Majlis-E-Ittehadul Muslimeen,2094
Uttar Pradesh - Najibabad,UMESH KUSHWAHA DANI,Independent,848
Uttar Pradesh - Najibabad,DHARA SINGH,Independent,784
Uttar Pradesh - Najibabad,SAMPURNANAND PANDEY,Sampoorna Samaj Party,447
Uttar Pradesh - Najibabad,ASARPAT SINGH,Independent,439
Uttar Pradesh - Najibabad,ASHFAK MAHIGEER,Apna Desh Party,393
Uttar Pradesh - Najibabad,HEMENDRA,Bharatiya Momin Front,237
Uttar Pradesh - Najibabad,KULDEEP,Bharatiya Bahujan Parivartan  Party,184
Uttar Pradesh - Najibabad,MOHD UMAR,Gareeb Kranti Party,175
Uttar Pradesh - Najibabad,None of the Above,None of the Above,1516
Uttar Pradesh - Nagina,MANOJ KUMAR PARAS,Samajwadi Party,77145
Uttar Pradesh - Nagina,OMWATI DEVI,Bharatiya Janata Party,69178
Uttar Pradesh - Nagina,VIRENDRA PAL,Bahujan Samaj Party,49693
Uttar Pradesh - Nagina,NEELAM,All India Majlis-E-Ittehadul Muslimeen,4385
Uttar Pradesh - Nagina,DR.PHOOL SINGH CHAUDHARY,Peace Party,2541
Uttar Pradesh - Nagina,YADRAM SINGH CHANDEL,Rashtriya Lok Dal,2113
Uttar Pradesh - Nagina,CHANDRVIR SINGH,Independent,685
Uttar Pradesh - Nagina,VIJAY,Independent,636
Uttar Pradesh - Nagina,MANOHAR,Independent,555
Uttar Pradesh - Nagina,CHIRANJEE  LAL,Rashtriya Lok Samta Party,493
Uttar Pradesh - Nagina,JAGDISH SINGH,Independent,449
Uttar Pradesh - Nagina,SARVESH ALIAS SHABNAM,VANCHITSAMAJ INSAAF PARTY,287
Uttar Pradesh - Nagina,SAPNA,National Aman Party,171
Uttar Pradesh - Nagina,SATENDRA KUMAR,Gareeb Kranti Party,141
Uttar Pradesh - Nagina,None of the Above,None of the Above,1431
Uttar Pradesh - Barhapur,SUSHANT KUMAR,Bharatiya Janata Party,78744
Uttar Pradesh - Barhapur,HUSAIN AHMAD,Indian National Congress,68920
Uttar Pradesh - Barhapur,FAHAD YAZDANI,Bahujan Samaj Party,50684
Uttar Pradesh - Barhapur,DR INDRA DEV SINGH,Independent,6190
Uttar Pradesh - Barhapur,RADHA,Rashtriya Lok Dal,3449
Uttar Pradesh - Barhapur,KULVEER SINGH,Independent,3164
Uttar Pradesh - Barhapur,NIHAL SINGH,Bhartiya Harit Party,1586
Uttar Pradesh - Barhapur,ABID ANSARI,Independent,1468
Uttar Pradesh - Barhapur,TAHIR HUSAIN,Independent,1110
Uttar Pradesh - Barhapur,NIRMAL MISHRA,Independent,963
Uttar Pradesh - Barhapur,AJAY KUMAR,Gareeb Kranti Party,845
Uttar Pradesh - Barhapur,MONIKA AHLAWAT,Independent,748
Uttar Pradesh - Barhapur,ROHITASH,Independent,596
Uttar Pradesh - Barhapur,BIRJESH,Peace Party,562
Uttar Pradesh - Barhapur,CHANDRA SHEKHAR,Independent,524
Uttar Pradesh - Barhapur,GAJALA TAUSIF,Independent,409
Uttar Pradesh - Barhapur,JAYPAL SINGH,Independent,358
Uttar Pradesh - Barhapur,TODA SINGH,Bharatiya Subhash Sena,345
Uttar Pradesh - Barhapur,SAMLESH SAINI,Rashtriya Lok Samta Party,277
Uttar Pradesh - Barhapur,SHAILENDRA PRATAP,Independent,253
Uttar Pradesh - Barhapur,MUKUL,Independent,206
Uttar Pradesh - Barhapur,SADHANA SINGH,Independent,192
Uttar Pradesh - Barhapur,None of the Above,None of the Above,556
Uttar Pradesh - Dhampur,ASHOK KUMAR RANA,Bharatiya Janata Party,82169
Uttar Pradesh - Dhampur,THA. MOOL CHAND CHAUHAN,Samajwadi Party,64305
Uttar Pradesh - Dhampur,MUHAMMAD GHAZI,Bahujan Samaj Party,42836
Uttar Pradesh - Dhampur,NAIMUDDIN,Rashtriya Lok Dal,659
Uttar Pradesh - Dhampur,FIRASAT,Ambedkar National Congress,519
Uttar Pradesh - Dhampur,KAMPI,Bharatiya Momin Front,467
Uttar Pradesh - Dhampur,LAXMAN,Independent,349
Uttar Pradesh - Dhampur,MOHD. DANISH,Independent,342
Uttar Pradesh - Dhampur,BHOOPENDRA KUMAR,Akhand Samaj Party,295
Uttar Pradesh - Dhampur,None of the Above,None of the Above,1020
Uttar Pradesh - Nehtaur,OMKUMAR,Bharatiya Janata Party,76644
Uttar Pradesh - Nehtaur,MUNNALAL PREMI,Indian National Congress,53493
Uttar Pradesh - Nehtaur,VIVEK SINGH,Bahujan Samaj Party,47059
Uttar Pradesh - Nehtaur,CHANDRAPAL SINGH,Rashtriya Lok Dal,6486
Uttar Pradesh - Nehtaur,NIRMALA DEVI,Independent,935
Uttar Pradesh - Nehtaur,NAIPAL,Gareeb Kranti Party,561
Uttar Pradesh - Nehtaur,JITENDRA SINGH,Independent,479
Uttar Pradesh - Nehtaur,PREM SINGH,Independent,430
Uttar Pradesh - Nehtaur,GAJRAJ SINGH,Independent,302
Uttar Pradesh - Nehtaur,RANJEET SINGH,Uttar Pradesh Republican Party,294
Uttar Pradesh - Nehtaur,SUNITA SINGH,Bharatiya Momin Front,251
Uttar Pradesh - Nehtaur,None of the Above,None of the Above,1273
Uttar Pradesh - Bijnor,SUCHI,Bharatiya Janata Party,105548
Uttar Pradesh - Bijnor,RUCHI VIRA,Samajwadi Party,78267
Uttar Pradesh - Bijnor,RASHID AHMAD,Bahujan Samaj Party,49788
Uttar Pradesh - Bijnor,RAHUL SINGH,Rashtriya Lok Dal,7799
Uttar Pradesh - Bijnor,GAURAV KUMAR DHIMAN,Gareeb Kranti Party,830
Uttar Pradesh - Bijnor,RAFEEQ AHMAD,Independent,774
Uttar Pradesh - Bijnor,BHUPENDRA SINGH,Bharatiya Momin Front,466
Uttar Pradesh - Bijnor,RAHUL KUMAR,Independent,448
Uttar Pradesh - Bijnor,PARVEZ AQIL,All India Minorities Front,375
Uttar Pradesh - Bijnor,BEGRAJ,Rashtriya mahan Gantantra Party,235
Uttar Pradesh - Bijnor,None of the Above,None of the Above,1241
Uttar Pradesh - Chandpur,KAMLESH SAINI,Bharatiya Janata Party,92345
Uttar Pradesh - Chandpur,MOHAMMAD IQBAL,Bahujan Samaj Party,56696
Uttar Pradesh - Chandpur,MO. ARSHAD,Samajwadi Party,36531
Uttar Pradesh - Chandpur,SHER BAAZ KHAN,Indian National Congress,15826
Uttar Pradesh - Chandpur,SURENDRA KUMAR VERMA,Rashtriya Lok Dal,11880
Uttar Pradesh - Chandpur,FARMAN,Peace Party,1457
Uttar Pradesh - Chandpur,AMAR SINGH,Communist Party of India  (Marxist),799
Uttar Pradesh - Chandpur,BHUPENDRA,Independent,600
Uttar Pradesh - Chandpur,RAMCHARAN,Independent,584
Uttar Pradesh - Chandpur,JAGAT SINGH,Independent,450
Uttar Pradesh - Chandpur,ILYAS,Independent,384
Uttar Pradesh - Chandpur,None of the Above,None of the Above,932
Uttar Pradesh - Noorpur,LOKENDRA SINGH,Bharatiya Janata Party,79172
Uttar Pradesh - Noorpur,NAIM UL HASAN,Samajwadi Party,66436
Uttar Pradesh - Noorpur,GOHAR IQBAL,Bahujan Samaj Party,45902
Uttar Pradesh - Noorpur,VIJAYPAL SINGH,Mahan Dal,5338
Uttar Pradesh - Noorpur,YOGESH URF TILLU TYAGI,Rashtriya Lok Dal,2172
Uttar Pradesh - Noorpur,MAHBOOB,Peace Party,811
Uttar Pradesh - Noorpur,AMIT KUMAR SINGH,Independent,753
Uttar Pradesh - Noorpur,HARSWAROOP,Independent,482
Uttar Pradesh - Noorpur,DINESH KUMAR,Independent,376
Uttar Pradesh - Noorpur,RAJPAL,Akhand Samaj Party,308
Uttar Pradesh - Noorpur,RAVENDAR KUMAR,Independent,243
Uttar Pradesh - Noorpur,None of the Above,None of the Above,1115
Uttar Pradesh - Kanth,RAJESH KUMAR SINGH (CHUNNU),Bharatiya Janata Party,76307
Uttar Pradesh - Kanth,ANEESURREHMAN,Samajwadi Party,73959
Uttar Pradesh - Kanth,MOHD. NASIR,Bahujan Samaj Party,43820
Uttar Pradesh - Kanth,FIZAULLAH CHAUDHRY,All India Majlis-E-Ittehadul Muslimeen,22908
Uttar Pradesh - Kanth,MUHAMMED USMAN ALI,Peace Party,13931
Uttar Pradesh - Kanth,DINESH KUMAR SAINI,Independent,10924
Uttar Pradesh - Kanth,AFAK ALI KHAN,Rashtriya Lok Dal,3458
Uttar Pradesh - Kanth,KASHIF,Independent,1744
Uttar Pradesh - Kanth,RAMRAKSHPAL,Shivsena,1086
Uttar Pradesh - Kanth,MOHAMMAD AMIL,National Lokmat Party,950
Uttar Pradesh - Kanth,RAFIULLAH KHAN,Independent,866
Uttar Pradesh - Kanth,MADAN LAL SINGH,Nationalist Congress Party,861
Uttar Pradesh - Kanth,MOHD ISRAR,Independent,744
Uttar Pradesh - Kanth,SATISH KUMAR,Rashtriya Congress(J) Party,351
Uttar Pradesh - Kanth,None of the Above,None of the Above,1199
Uttar Pradesh - Thakurdwara,NAVAB JAN,Samajwadi Party,107865
Uttar Pradesh - Thakurdwara,RAJPAL SINGH CHAUHAN,Bharatiya Janata Party,94456
Uttar Pradesh - Thakurdwara,VIJAY YADAV,Bahujan Samaj Party,39821
Uttar Pradesh - Thakurdwara,EJAJ AHMAD,All India Majlis-E-Ittehadul Muslimeen,9444
Uttar Pradesh - Thakurdwara,ATEEQ AHMAD,Communist Party of India  (Marxist),1096
Uttar Pradesh - Thakurdwara,ABID,Independent,771
Uttar Pradesh - Thakurdwara,HARPAL SINGH,Rashtriya Lok Dal,598
Uttar Pradesh - Thakurdwara,JITENDRA KUMAR SHARMA,Bharatiya Subhash Sena,505
Uttar Pradesh - Thakurdwara,SHAMSHAD HUSSAIN,Independent,504
Uttar Pradesh - Thakurdwara,ATUL KUMAR,Independent,320
Uttar Pradesh - Thakurdwara,None of the Above,None of the Above,1040
Uttar Pradesh - Moradabad Rural,HAJI IKRAM QURESHI,Samajwadi Party,97916
Uttar Pradesh - Moradabad Rural,HARIOM SHARMA,Bharatiya Janata Party,69135
Uttar Pradesh - Moradabad Rural,MOHD KAMRANUL HAQ,Rashtriya Lok Dal,23404
Uttar Pradesh - Moradabad Rural,PANNALAL URF BABLU SAINI,Bahujan Samaj Party,20054
Uttar Pradesh - Moradabad Rural,MOHD ASLAM,All India Majlis-E-Ittehadul Muslimeen,3503
Uttar Pradesh - Moradabad Rural,FAHEEM,Independent,2038
Uttar Pradesh - Moradabad Rural,PRANSHU JOSHI,Independent,1565
Uttar Pradesh - Moradabad Rural,BRAHMSWAROOP,Communist Party of India  (Marxist),771
Uttar Pradesh - Moradabad Rural,PARUL SHARMA,Independent,363
Uttar Pradesh - Moradabad Rural,NASERUDDIN,Independent,361
Uttar Pradesh - Moradabad Rural,KUSUM,Independent,347
Uttar Pradesh - Moradabad Rural,MOHD NASIR,Independent,287
Uttar Pradesh - Moradabad Rural,RAMPRASAD,Shivsena,257
Uttar Pradesh - Moradabad Rural,VIVEK GUPTA,AARAKSHAN VIRODHI PARTY,234
Uttar Pradesh - Moradabad Rural,MOHD ASLAM URF PASA,Republican Party of India (A),185
Uttar Pradesh - Moradabad Rural,DINESH KUMAR,Bharatiya Subhash Sena,165
Uttar Pradesh - Moradabad Rural,DINESH KUMAR YADAV,Rashtriya Congress(J) Party,143
Uttar Pradesh - Moradabad Rural,None of the Above,None of the Above,639
Uttar Pradesh - Moradabad Nagar,RITESH KUMAR GUPTA,Bharatiya Janata Party,123467
Uttar Pradesh - Moradabad Nagar,MOHAMMAD YUSUF ANSARI,Samajwadi Party,120274
Uttar Pradesh - Moradabad Nagar,ATEEQ AHMED SAIFI,Bahujan Samaj Party,24650
Uttar Pradesh - Moradabad Nagar,B.K SAINI,Shivsena,2022
Uttar Pradesh - Moradabad Nagar,RAUF,Rashtriya Lok Dal,1035
Uttar Pradesh - Moradabad Nagar,GYANENDRA KUMAR,Independent,966
Uttar Pradesh - Moradabad Nagar,SHAHBUDDIN,All India Majlis-E-Ittehadul Muslimeen,947
Uttar Pradesh - Moradabad Nagar,ABDUL RAUK,Peace Party,633
Uttar Pradesh - Moradabad Nagar,HARKISHOR SINGH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),420
Uttar Pradesh - Moradabad Nagar,MAMTA GUPTA,Independent,414
Uttar Pradesh - Moradabad Nagar,RISHI BHARDWAJ,Independent,223
Uttar Pradesh - Moradabad Nagar,VINAY PRAKESH,Nirbal Indian Shoshit Hamara Aam Dal,212
Uttar Pradesh - Moradabad Nagar,DRESPAL SINGH,Rashtriya Congress (Babu Jagjivanram),211
Uttar Pradesh - Moradabad Nagar,RAJEEV KUMAR DUBEY,AARAKSHAN VIRODHI PARTY,205
Uttar Pradesh - Moradabad Nagar,VIJETA GUPTA,Rashtriya Mazdoor Ekta Party,145
Uttar Pradesh - Moradabad Nagar,RADHEY SHYAM,Rashtriya Congress(J) Party,126
Uttar Pradesh - Moradabad Nagar,None of the Above,None of the Above,855
Uttar Pradesh - Kundarki,MOHAMMAD RIZWAN,Samajwadi Party,110561
Uttar Pradesh - Kundarki,RAMVEER SINGH,Bharatiya Janata Party,99740
Uttar Pradesh - Kundarki,AKBAR HUSAIN,Bahujan Samaj Party,36071
Uttar Pradesh - Kundarki,ISRAR HUSAIN,All India Majlis-E-Ittehadul Muslimeen,7025
Uttar Pradesh - Kundarki,MOHAMMAD NABI,Rashtriya Lok Dal,4078
Uttar Pradesh - Kundarki,MOHD. ZAKI,Independent,1578
Uttar Pradesh - Kundarki,PAPPU SINGH,Independent,1342
Uttar Pradesh - Kundarki,RAMJANI,Peace Party,921
Uttar Pradesh - Kundarki,MOHD. RAIS,Independent,504
Uttar Pradesh - Kundarki,UVAIS,Independent,457
Uttar Pradesh - Kundarki,FAYYAZUL HUSAIN,Bharatiya Bahujan Parivartan  Party,278
Uttar Pradesh - Kundarki,SANTU URF SANTOSH KUMAR,Bharatiya Subhash Sena,246
Uttar Pradesh - Kundarki,IRFAN ALI,Independent,191
Uttar Pradesh - Kundarki,RAJENDRA,Jan Shakti Dal,168
Uttar Pradesh - Kundarki,None of the Above,None of the Above,1170
Uttar Pradesh - Bilari,MOHD. FAEEM,Samajwadi Party,85682
Uttar Pradesh - Bilari,SURESH SAINI,Bharatiya Janata Party,72241
Uttar Pradesh - Bilari,RISHIPAL SINGH,Bahujan Samaj Party,60976
Uttar Pradesh - Bilari,ARIF HUSAIN,Peace Party,2666
Uttar Pradesh - Bilari,ANIL CHAUDHARY,Rashtriya Lok Dal,2493
Uttar Pradesh - Bilari,YOGENDRA SINGH,Independent,1278
Uttar Pradesh - Bilari,RATANPAL,Independent,790
Uttar Pradesh - Bilari,WASEEM AHMAD,Independent,704
Uttar Pradesh - Bilari,MOHD MOHSIN KAMAL,Independent,306
Uttar Pradesh - Bilari,HARI SINGH,Bharatiya Subhash Sena,269
Uttar Pradesh - Bilari,DINESH SHARMA,Independent,220
Uttar Pradesh - Bilari,VIJAY SINGH,Bharatiya Momin Front,218
Uttar Pradesh - Bilari,ANANDI,Independent,150
Uttar Pradesh - Bilari,None of the Above,None of the Above,1123
Uttar Pradesh - Chandausi,GULAB DEVI,Bharatiya Janata Party,104806
Uttar Pradesh - Chandausi,KM. VIMLESH KUMARI,Indian National Congress,59337
Uttar Pradesh - Chandausi,VIRMAWATI,Bahujan Samaj Party,51049
Uttar Pradesh - Chandausi,JYOTASNA,Mahan Dal,3615
Uttar Pradesh - Chandausi,RAVINDRA KUMAR,Rashtriya Lok Dal,1278
Uttar Pradesh - Chandausi,BRHAM DEV,Independent,1257
Uttar Pradesh - Chandausi,RAMPAL SINGH,Independent,597
Uttar Pradesh - Chandausi,None of the Above,None of the Above,2135
Uttar Pradesh - Asmoli,PINKI YADAV,Samajwadi Party,97610
Uttar Pradesh - Asmoli,NARENDRA SINGH,Bharatiya Janata Party,76484
Uttar Pradesh - Asmoli,AQEELURREHMAN KHAN,Bahujan Samaj Party,67457
Uttar Pradesh - Asmoli,RAMSARAN,Sarv Sambhaav Party,1689
Uttar Pradesh - Asmoli,DHIRENDRA YADAV,Rashtriya Lok Dal,1027
Uttar Pradesh - Asmoli,PAPPU,Independent,960
Uttar Pradesh - Asmoli,ASHARAF,KIsan Shakti Jantantrik Party,906
Uttar Pradesh - Asmoli,AJAY KUMAR,Independent,646
Uttar Pradesh - Asmoli,MAHARAM SINGH,Independent,542
Uttar Pradesh - Asmoli,ZAKIR HUSAIN,Independent,534
Uttar Pradesh - Asmoli,ZAKIR KHAN,Independent,318
Uttar Pradesh - Asmoli,None of the Above,None of the Above,1872
Uttar Pradesh - Sambhal,IQBAL MEHMOOD,Samajwadi Party,79248
Uttar Pradesh - Sambhal,ZIAURREHMAN,All India Majlis-E-Ittehadul Muslimeen,60426
Uttar Pradesh - Sambhal,DR. ARVIND,Bharatiya Janata Party,59976
Uttar Pradesh - Sambhal,RAFATULLA,Bahujan Samaj Party,36705
Uttar Pradesh - Sambhal,AJAY KUMAR,Independent,1361
Uttar Pradesh - Sambhal,QAISER ABBAS,Rashtriya Lok Dal,920
Uttar Pradesh - Sambhal,SANTOSH KUMARI,Independent,842
Uttar Pradesh - Sambhal,FARHAD A.,Independent,623
Uttar Pradesh - Sambhal,NEM SINGH JATAV ADVOCATE,Jan Shakti Dal,600
Uttar Pradesh - Sambhal,None of the Above,None of the Above,1683
Uttar Pradesh - Suar,MOHAMMAD ABDULLAH AZAM KHAN,Samajwadi Party,106443
